,conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags
10021,hit:1663_conv:3326,4,devastated,Someone spray-painted my car last night_comma_ wrote some curse word. I have no idea why_comma_ since i have no enemies. I don't understand how people can treat others like that.,27,You should have called the police. If they were just vandals they probably did it to someone else to.,3|3|3_5|5|5,
10022,hit:1663_conv:3327,1,furious,My ipad is locked. My son kept putting in the wrong passcode.,27,MY son always tries to unlock my ipad while I'm sleep. Now it has to be reset,5|5|5_3|3|3,
10023,hit:1663_conv:3327,2,furious,My ipad is locked. My son kept putting in the wrong passcode.,273,That's annoying. Kids these days are really attached to electronics_comma_ just how it goes. I know it's hard to cut them off_comma_ but have you tried managing his electronics time more closely?,5|5|5_3|3|3,
10024,hit:1663_conv:3327,3,furious,My ipad is locked. My son kept putting in the wrong passcode.,27,He's three and he has his on that's why I keep mines locked. I am so mad at him.,5|5|5_3|3|3,
10025,hit:1663_conv:3327,4,furious,My ipad is locked. My son kept putting in the wrong passcode.,273,I would be_comma_ too. At that age_comma_ they don't understand why they can't have it. It's like talking to a brick wall. I hope it gets easier for you as he gets older.,5|5|5_3|3|3,
10026,hit:1663_conv:3327,5,furious,My ipad is locked. My son kept putting in the wrong passcode.,27,ME too. I'm gonna have to hide it now.,5|5|5_3|3|3,
10027,hit:1664_conv:3328,1,apprehensive,I was nervous when I was trying to drive where I wasn't familiar,267,I was nervous when I was trying to drive where I wasn't familiar,5|5|5_5|5|5,
10028,hit:1664_conv:3328,2,apprehensive,I was nervous when I was trying to drive where I wasn't familiar,4,Did you practice first in a parking lot?,5|5|5_5|5|5,
10029,hit:1664_conv:3328,3,apprehensive,I was nervous when I was trying to drive where I wasn't familiar,267,No_comma_ I was used to driving_comma_ just going somewhere I had not before,5|5|5_5|5|5,
10030,hit:1664_conv:3328,4,apprehensive,I was nervous when I was trying to drive where I wasn't familiar,4,Did you use GPS?,5|5|5_5|5|5,
10031,hit:1664_conv:3329,1,furious,I am so mad that Hillary Clinton didn't go to jail.,4,I am so mad Hillary Clinton didn't go to jail.,5|5|5_5|5|5,
10032,hit:1664_conv:3329,2,furious,I am so mad that Hillary Clinton didn't go to jail.,267,I can understand that.  I feel like Trump should have gone to jail a long time ago,5|5|5_5|5|5,<POLITICAL>
10033,hit:1664_conv:3329,3,furious,I am so mad that Hillary Clinton didn't go to jail.,4,No_comma_ he never breaks the law just takes advantage of it.,5|5|5_5|5|5,
10034,hit:1664_conv:3329,4,furious,I am so mad that Hillary Clinton didn't go to jail.,267,I totally agree with you,5|5|5_5|5|5,
10035,hit:1665_conv:3330,1,hopeful,I pray every night North Korea doesn't bomb us.,4,I pray every night North Korea doesn't bomb us.,5|5|5_5|5|5,
10036,hit:1665_conv:3330,2,hopeful,I pray every night North Korea doesn't bomb us.,27,I think they are just empty threats but you never know.,5|5|5_5|5|5,
10037,hit:1665_conv:3330,3,hopeful,I pray every night North Korea doesn't bomb us.,4,I hope your right.,5|5|5_5|5|5,
10038,hit:1665_conv:3330,4,hopeful,I pray every night North Korea doesn't bomb us.,27,You and me both. ,5|5|5_5|5|5,
10039,hit:1665_conv:3331,1,lonely,I moved far away from the city. I hardly ever see my friends anymore.,27,I moved away from the city. I never see my friends anymore. It gets lonely out here.,5|5|5_5|5|5,
10040,hit:1665_conv:3331,2,lonely,I moved far away from the city. I hardly ever see my friends anymore.,4,Why don't you move back?,5|5|5_5|5|5,
10041,hit:1665_conv:3331,3,lonely,I moved far away from the city. I hardly ever see my friends anymore.,27,It's better for my kids and its so expensive.,5|5|5_5|5|5,
10042,hit:1665_conv:3331,4,lonely,I moved far away from the city. I hardly ever see my friends anymore.,4,Can you make new friends where you are now?,5|5|5_5|5|5,
10043,hit:1665_conv:3331,5,lonely,I moved far away from the city. I hardly ever see my friends anymore.,27,The people out here aren't that friendly. I can't win.,5|5|5_5|5|5,
10044,hit:1666_conv:3333,1,embarrassed,I forgot to order my daughter books for school. Now she is gonna start with out them.,27,I forgot to order my daughters textbooks.,5|5|5_3|5|5,
10045,hit:1666_conv:3333,2,embarrassed,I forgot to order my daughter books for school. Now she is gonna start with out them.,138,Oh no! How many days left until she starts school?,5|5|5_3|5|5,
10046,hit:1666_conv:3333,3,embarrassed,I forgot to order my daughter books for school. Now she is gonna start with out them.,27,She starts on the 13th. She wont get the books until the 17th. I'm s bad mom lol,5|5|5_3|5|5,
10047,hit:1666_conv:3333,4,embarrassed,I forgot to order my daughter books for school. Now she is gonna start with out them.,138,Wow_comma_ that's some really slow shipping times. Maybe you will get lucky and they will come in the mail sooner.,5|5|5_3|5|5,
10048,hit:1666_conv:3333,5,embarrassed,I forgot to order my daughter books for school. Now she is gonna start with out them.,27,I waited so late some were on back order. I couldn't afford the other ones. I explained to the school though. I'm just embarrassed,5|5|5_3|5|5,
10049,hit:1667_conv:3334,1,jealous,I wish I had more money like Bill Gates.,4,I wish I had more money like Bill Gates.,5|5|5_5|5|5,
10050,hit:1667_conv:3334,2,jealous,I wish I had more money like Bill Gates.,267,I am totally with you,5|5|5_5|5|5,
10051,hit:1667_conv:3334,3,jealous,I wish I had more money like Bill Gates.,4,Maybe I can start the next Microsoft.,5|5|5_5|5|5,
10052,hit:1667_conv:3334,4,jealous,I wish I had more money like Bill Gates.,267,I am sure you could,5|5|5_5|5|5,
10053,hit:1667_conv:3335,1,impressed,I am really impressed that I am still able to teach my dog things at his age,267,I am really impressed that I am still able to teach my dog things at his age,5|5|5_5|5|5,
10054,hit:1667_conv:3335,2,impressed,I am really impressed that I am still able to teach my dog things at his age,4,How old is he?,5|5|5_5|5|5,
10055,hit:1667_conv:3335,3,impressed,I am really impressed that I am still able to teach my dog things at his age,267,He is 14!,5|5|5_5|5|5,
10056,hit:1667_conv:3335,4,impressed,I am really impressed that I am still able to teach my dog things at his age,4,Wow_comma_ you can teach an old dog new tricks.,5|5|5_5|5|5,
10057,hit:1668_conv:3336,1,joyful,I am so happy school is back.,4,I am so happy school is back.,5|5|5_3|5|4,
10058,hit:1668_conv:3336,2,joyful,I am so happy school is back.,155,Indeed. It would be fun to see your friends again and be around them,5|5|5_3|5|4,
10059,hit:1668_conv:3336,3,joyful,I am so happy school is back.,4,Yes_comma_ but I am a teacher.,5|5|5_3|5|4,
10060,hit:1668_conv:3336,4,joyful,I am so happy school is back.,155,I think being with children is a joy that not everybody can understand,5|5|5_3|5|4,
10061,hit:1668_conv:3337,1,hopeful,I have my credit card application approved with American Express. I hope now I can buy a new smartphone,155,Last week_comma_ I had my credit card application approved with American Express. I now can think of getting a new smartphone,3|5|4_5|5|5,
10062,hit:1668_conv:3337,2,hopeful,I have my credit card application approved with American Express. I hope now I can buy a new smartphone,4,How much is the phone?,3|5|4_5|5|5,
10063,hit:1668_conv:3337,3,hopeful,I have my credit card application approved with American Express. I hope now I can buy a new smartphone,155,I was thinking of getting Samsung S9 which costs around $700 and thought of paying with my Amex credit card,3|5|4_5|5|5,
10064,hit:1668_conv:3337,4,hopeful,I have my credit card application approved with American Express. I hope now I can buy a new smartphone,4,Will you be able to pay that off quick thou?,3|5|4_5|5|5,
10065,hit:1669_conv:3338,1,sad,I lost my dog last year_comma_ I cried so hard.,4,I lost my dog last year_comma_ I cried so hard.,5|5|5_5|5|5,
10066,hit:1669_conv:3338,2,sad,I lost my dog last year_comma_ I cried so hard.,27,Oh no. Did it ever come back?,5|5|5_5|5|5,
10067,hit:1669_conv:3338,3,sad,I lost my dog last year_comma_ I cried so hard.,4,No_comma_ I assume he died.,5|5|5_5|5|5,
10068,hit:1669_conv:3338,4,sad,I lost my dog last year_comma_ I cried so hard.,27,That sucks. MY sisters dog used to roam the neighborhood a lot and one day he didn't come back either. His name was Oreo. I told my daughter he got married.,5|5|5_5|5|5,
10069,hit:1669_conv:3339,1,grateful,I am so happy that I found decent work this summer,27,Im so happy I gt to take my kids on two trip this summer since I started working.,5|5|5_5|5|5,
10070,hit:1669_conv:3339,2,grateful,I am so happy that I found decent work this summer,4,Where did you go?,5|5|5_5|5|5,
10071,hit:1669_conv:3339,3,grateful,I am so happy that I found decent work this summer,27,Gatlinburg and Panama City Beach_comma_ Then I took an adult trip to New Orleans. Great summer.,5|5|5_5|5|5,
10072,hit:1669_conv:3339,4,grateful,I am so happy that I found decent work this summer,4,I love New Orleans.,5|5|5_5|5|5,
10073,hit:1669_conv:3339,5,grateful,I am so happy that I found decent work this summer,27,It was a lot of fun. Smelled funny though lol,5|5|5_5|5|5,
10074,hit:1670_conv:3340,1,sad,I wish my grandma was still alive.,4,I wish my grandma was still alive.,5|5|5_5|5|5,
10075,hit:1670_conv:3340,2,sad,I wish my grandma was still alive.,267,Awwww  i can relate to that.  I am so sorry.,5|5|5_5|5|5,
10076,hit:1670_conv:3340,3,sad,I wish my grandma was still alive.,4,Yes_comma_ she died of lung cancer.,5|5|5_5|5|5,
10077,hit:1670_conv:3340,4,sad,I wish my grandma was still alive.,267,I am very sorry to hear that,5|5|5_5|5|5,
10078,hit:1670_conv:3341,1,terrified,I was terrified when I heard a knock at my door late at night,267,I was terrified when I heard a knock at my door late at night,5|5|5_5|5|5,
10079,hit:1670_conv:3341,2,terrified,I was terrified when I heard a knock at my door late at night,4,Who was it?,5|5|5_5|5|5,
10080,hit:1670_conv:3341,3,terrified,I was terrified when I heard a knock at my door late at night,267,It was my neighbor letting me know I left the garage open,5|5|5_5|5|5,
10081,hit:1670_conv:3341,4,terrified,I was terrified when I heard a knock at my door late at night,4,That was nice of them.,5|5|5_5|5|5,
10082,hit:1671_conv:3342,1,prepared,I am ready for the winter_comma_ I bought a coat.,4,I am ready for winter_comma_ I bought a coat.,5|5|5_5|5|5,
10083,hit:1671_conv:3342,2,prepared,I am ready for the winter_comma_ I bought a coat.,286,I'm not too fond of winter_comma_ but what kind of coat did you buy?,5|5|5_5|5|5,
10084,hit:1671_conv:3342,3,prepared,I am ready for the winter_comma_ I bought a coat.,4,I bought a big furry one.,5|5|5_5|5|5,
10085,hit:1671_conv:3342,4,prepared,I am ready for the winter_comma_ I bought a coat.,286,Awesome_comma_ I bet it's comfy! How cold does it get where you live?,5|5|5_5|5|5,
10086,hit:1671_conv:3343,1,anticipating,I'm anxiously awaiting for my child to start kindergarten. ,286,I'm eagerly awaiting my son going to kindergarten.,5|5|5_5|5|5,
10087,hit:1671_conv:3343,2,anticipating,I'm anxiously awaiting for my child to start kindergarten. ,4,When does he start?,5|5|5_5|5|5,
10088,hit:1671_conv:3343,3,anticipating,I'm anxiously awaiting for my child to start kindergarten. ,286,In about three weeks from now. I almost don't know how to feel about it_comma_ though.,5|5|5_5|5|5,
10089,hit:1671_conv:3343,4,anticipating,I'm anxiously awaiting for my child to start kindergarten. ,4,I am sure he will have fun.,5|5|5_5|5|5,
10090,hit:1671_conv:3343,5,anticipating,I'm anxiously awaiting for my child to start kindergarten. ,286,I hope so! I'm a little worried that he will cry at first.,5|5|5_5|5|5,
10091,hit:1672_conv:3344,1,lonely,After my divorce I have no one.,4,After my divorce I have no one.,5|5|5_5|5|5,
10092,hit:1672_conv:3344,2,lonely,After my divorce I have no one.,267,You may have more than you know but sometimes meeting new people will give you the fresh start you need,5|5|5_5|5|5,
10093,hit:1672_conv:3344,3,lonely,After my divorce I have no one.,4,Where do I go to meet them?,5|5|5_5|5|5,
10094,hit:1672_conv:3344,4,lonely,After my divorce I have no one.,267,Neighbors_comma_ co-workers.  Try and get involved in local sports or comunity groups.  How about volunteering.  That is a good way to meet people that are positive,5|5|5_5|5|5,
10095,hit:1672_conv:3345,1,joyful,I was ecstatic when my kids came home yesterday.,267,I was ecstatic when my kids came home yesterday,5|5|5_5|5|5,
10096,hit:1672_conv:3345,2,joyful,I was ecstatic when my kids came home yesterday.,4,Where did they come from?,5|5|5_5|5|5,
10097,hit:1672_conv:3345,3,joyful,I was ecstatic when my kids came home yesterday.,267,They were on vacation with their father,5|5|5_5|5|5,
10098,hit:1672_conv:3345,4,joyful,I was ecstatic when my kids came home yesterday.,4,Where did they go?,5|5|5_5|5|5,
10099,hit:1673_conv:3346,1,terrified,I hate taking the subway_comma_ I am afraid I will get robbed.,4,I hate taking the subway_comma_ I am afraid I will get robbed.,5|5|5_3|4|4,
10100,hit:1673_conv:3346,2,terrified,I hate taking the subway_comma_ I am afraid I will get robbed.,138,I'm not particularly a fan of subways either_comma_ but why are you so scared of being robbed?,5|5|5_3|4|4,
10101,hit:1673_conv:3346,3,terrified,I hate taking the subway_comma_ I am afraid I will get robbed.,4,Cause it seems to happen every day.,5|5|5_3|4|4,
10102,hit:1673_conv:3346,4,terrified,I hate taking the subway_comma_ I am afraid I will get robbed.,138,I think the overall chances of that are pretty low. Though I do understand your fear.,5|5|5_3|4|4,
10103,hit:1674_conv:3348,1,annoyed,I was really annoyed when my boss was not being treated well.,267,I was really annoyed when my boss was not being treated well,5|5|5_5|5|5,
10104,hit:1674_conv:3348,2,annoyed,I was really annoyed when my boss was not being treated well.,286,So I take it you get along well with your boss?,5|5|5_5|5|5,
10105,hit:1674_conv:3348,3,annoyed,I was really annoyed when my boss was not being treated well.,267,I do.  He is really encouraging,5|5|5_5|5|5,
10106,hit:1674_conv:3348,4,annoyed,I was really annoyed when my boss was not being treated well.,286,That's great to hear_comma_ often times we here of people who hate their bosses!,5|5|5_5|5|5,
10107,hit:1674_conv:3349,1,devastated,I dropped my favorite coffee mug that was given to me by my grandmother who passed away.,286,I recently broke my favorite coffee mug that my grandmother gave me before she passed away.,5|5|5_5|5|5,
10108,hit:1674_conv:3349,2,devastated,I dropped my favorite coffee mug that was given to me by my grandmother who passed away.,267,That really is disappointing.  Can you fix it?,5|5|5_5|5|5,
10109,hit:1674_conv:3349,3,devastated,I dropped my favorite coffee mug that was given to me by my grandmother who passed away.,286,No_comma_ it's completely shattered. I'm pretty upset. ,5|5|5_5|5|5,
10110,hit:1674_conv:3349,4,devastated,I dropped my favorite coffee mug that was given to me by my grandmother who passed away.,267,I am so sorry to hear that,5|5|5_5|5|5,
10111,hit:1674_conv:3349,5,devastated,I dropped my favorite coffee mug that was given to me by my grandmother who passed away.,286,Thanks. I guess I need to just cherish her memory and try not to put too much emotion into material things.,5|5|5_5|5|5,
10112,hit:1675_conv:3350,1,embarrassed,"When I was jogging two days ago_comma_ I fell flat on my face after tripping over my feet. Someone saw me and I felt so stupid. I turned around_comma_ looked at them_comma_ and said_comma_ ""You didn't see that_comma_"" and then just kept on jogging.",273,"When I was jogging two days ago_comma_ I fell flat on my face after tripping over my feet. Someone saw me and I felt so stupid. I turned around_comma_ looked at them_comma_ and said_comma_ ""You didn't see that_comma_"" and then just kept on jogging.",3|3|3_5|5|5,
10113,hit:1675_conv:3350,2,embarrassed,"When I was jogging two days ago_comma_ I fell flat on my face after tripping over my feet. Someone saw me and I felt so stupid. I turned around_comma_ looked at them_comma_ and said_comma_ ""You didn't see that_comma_"" and then just kept on jogging.",4,Did you hurt yourself?,3|3|3_5|5|5,
10114,hit:1675_conv:3350,3,embarrassed,"When I was jogging two days ago_comma_ I fell flat on my face after tripping over my feet. Someone saw me and I felt so stupid. I turned around_comma_ looked at them_comma_ and said_comma_ ""You didn't see that_comma_"" and then just kept on jogging.",273,I have some scrapes on my hands where I landed. But mostly it was just my pride that was injured. I hope I never see that person around the neighborhood again...,3|3|3_5|5|5,
10115,hit:1675_conv:3350,4,embarrassed,"When I was jogging two days ago_comma_ I fell flat on my face after tripping over my feet. Someone saw me and I felt so stupid. I turned around_comma_ looked at them_comma_ and said_comma_ ""You didn't see that_comma_"" and then just kept on jogging.",4,I am sure they have fallen before_comma_ no big deal.,3|3|3_5|5|5,
10116,hit:1675_conv:3350,5,embarrassed,"When I was jogging two days ago_comma_ I fell flat on my face after tripping over my feet. Someone saw me and I felt so stupid. I turned around_comma_ looked at them_comma_ and said_comma_ ""You didn't see that_comma_"" and then just kept on jogging.",273,Probably. And you're right_comma_ yeah_comma_ I'm overthinking it. But I keep replaying it over and over in my head! I'm sure after another day or two it'll be gone.,3|3|3_5|5|5,
10117,hit:1675_conv:3351,1,sad,I cry every time I think of my grandmother.,4,I cry every time I think of my grandmother.,5|5|5_3|3|3,
10118,hit:1675_conv:3351,2,sad,I cry every time I think of my grandmother.,273,I'm sorry to hear that. Why do you think that is? Is it a painful or happy memory?,5|5|5_3|3|3,
10119,hit:1675_conv:3351,3,sad,I cry every time I think of my grandmother.,4,I am just sad she isn't alive anymore.,5|5|5_3|3|3,
10120,hit:1675_conv:3351,4,sad,I cry every time I think of my grandmother.,273,I can understand that. That does sound like a difficult thing to deal with. Hopefully you have a lot of nice memories you can look back on to remember her by.,5|5|5_3|3|3,
10121,hit:1676_conv:3352,1,angry,I just stubbed my toe a few minutes ago. Why does that have to even be a thing? Something so small on your body can cause you such great pain_comma_ and all you can do is just hop around like a moron.,273,I just stubbed my toe a few minutes ago. Why does that have to even be a thing? Something so small on your body can cause you such great pain_comma_ and all you can do is just hop around like a moron.,4|4|4_5|5|5,
10122,hit:1676_conv:3352,2,angry,I just stubbed my toe a few minutes ago. Why does that have to even be a thing? Something so small on your body can cause you such great pain_comma_ and all you can do is just hop around like a moron.,155,It is these delicate balance of our natural body that makes us to be diligent for survival,4|4|4_5|5|5,
10123,hit:1676_conv:3352,3,angry,I just stubbed my toe a few minutes ago. Why does that have to even be a thing? Something so small on your body can cause you such great pain_comma_ and all you can do is just hop around like a moron.,273,That's actually a really interesting way to frame it. We try hard to survive because we know how fragile we are as a species. If we weren't so fragile_comma_ we'd take it for granted. Interesting perspective!,4|4|4_5|5|5,
10124,hit:1676_conv:3352,4,angry,I just stubbed my toe a few minutes ago. Why does that have to even be a thing? Something so small on your body can cause you such great pain_comma_ and all you can do is just hop around like a moron.,155,Indeed. Nature is very interesting and complex to interpret. Survival is the only mechanism that drive us to have certain physical features,4|4|4_5|5|5,
10125,hit:1676_conv:3353,1,grateful,My supervisor praised my work on the project in front of others in our weekly meeting,155,I felt very special and appreciated when my supervisor praised my work in front of other team members during our weekly meeting,5|5|5_4|4|4,
10126,hit:1676_conv:3353,2,grateful,My supervisor praised my work on the project in front of others in our weekly meeting,273,I bet that was a nice surprise! That's pretty cool. What was it for_comma_ if you don't mind me asking?,5|5|5_4|4|4,
10127,hit:1676_conv:3353,3,grateful,My supervisor praised my work on the project in front of others in our weekly meeting,155,We develop enterprise software solutions for business per client request_comma_ and i was able to create a very efficient algorithm,5|5|5_4|4|4,
10128,hit:1676_conv:3353,4,grateful,My supervisor praised my work on the project in front of others in our weekly meeting,273,"That's really cool... And also way above my head! But seriously_comma_ that sounds like smart_comma_ hard work. You should be proud. I'm glad you got that ""moment in the sun.""",5|5|5_4|4|4,
10129,hit:1677_conv:3354,1,impressed,I saw someone eat a five pound burger during some crazy challenge earlier today. It was a girl_comma_ too! Sometimes people do some wild things to completely turn around your expectations of them.,273,I saw someone eat a five pound burger during some crazy challenge earlier today. It was a girl_comma_ too! Sometimes people do some wild things to completely turn around your expectations of them.,4|4|4_5|5|5,
10130,hit:1677_conv:3354,2,impressed,I saw someone eat a five pound burger during some crazy challenge earlier today. It was a girl_comma_ too! Sometimes people do some wild things to completely turn around your expectations of them.,286,Wow_comma_ that's amazing! Shows that we can't judge a book by it's cover. We automatically think it would take a large man to do something like that!,4|4|4_5|5|5,
10131,hit:1677_conv:3354,3,impressed,I saw someone eat a five pound burger during some crazy challenge earlier today. It was a girl_comma_ too! Sometimes people do some wild things to completely turn around your expectations of them.,273,Yeah_comma_ no joke. And she seemed fine afterwards_comma_ too. Like walking around normal_comma_ no pain. This girl had to be like 115_comma_ tops. Really funny.,4|4|4_5|5|5,
10132,hit:1677_conv:3354,4,impressed,I saw someone eat a five pound burger during some crazy challenge earlier today. It was a girl_comma_ too! Sometimes people do some wild things to completely turn around your expectations of them.,286,I would have been unable to move for the rest of the day!,4|4|4_5|5|5,
10133,hit:1677_conv:3355,1,lonely,After my two best friends moved away_comma_ I felt pretty depressed and miss them a lot.,286,Two of my best friends moved away recently not far apart from one another. Left me feeling a bit empty.,5|5|5_4|4|4,
10134,hit:1677_conv:3355,2,lonely,After my two best friends moved away_comma_ I felt pretty depressed and miss them a lot.,273,Dang_comma_ that's rough. Like a double-dose of sadness. My girlfriend and I are long distance_comma_ so I know how that goes. Is there any way you can still keep in touch with them?,5|5|5_4|4|4,
10135,hit:1677_conv:3355,3,lonely,After my two best friends moved away_comma_ I felt pretty depressed and miss them a lot.,286,Oh yeah_comma_ knowing that they left for positive reasons and having social media to keep in contact helps a lot.,5|5|5_4|4|4,
10136,hit:1677_conv:3355,4,lonely,After my two best friends moved away_comma_ I felt pretty depressed and miss them a lot.,273,Yeah_comma_ she and I don't use social media_comma_ but I can imagine that'd be really helpful in your case. Well_comma_ I'm glad you at least have that. And maybe it will open up the possibility for you to meet new people_comma_ too.,5|5|5_4|4|4,
10137,hit:1677_conv:3355,5,lonely,After my two best friends moved away_comma_ I felt pretty depressed and miss them a lot.,286,How come you guys don't use social media? I guess I kind of get it_comma_ but I feel in your case it could be a huge positive!,5|5|5_4|4|4,
10138,hit:1677_conv:3355,6,lonely,After my two best friends moved away_comma_ I felt pretty depressed and miss them a lot.,273,Well_comma_ we don't like unnecessary attention_comma_ and we don't like talking about ourselves. We just like skyping between each other_comma_ and that's it. And talking on the phone_comma_ of course.,5|5|5_4|4|4,
10139,hit:1677_conv:3355,7,lonely,After my two best friends moved away_comma_ I felt pretty depressed and miss them a lot.,286,Well that's good. Skype is actually even better than having to deal with all the extra nastiness of social media.,5|5|5_4|4|4,
10140,hit:1678_conv:3356,1,embarrassed,I was really embarrassed when I forgot my speech,267,I was really embarrassed when I forgot my speech,5|5|5_5|5|5,
10141,hit:1678_conv:3356,2,embarrassed,I was really embarrassed when I forgot my speech,4,Was it for school?,5|5|5_5|5|5,
10142,hit:1678_conv:3356,3,embarrassed,I was really embarrassed when I forgot my speech,267,It was for work,5|5|5_5|5|5,
10143,hit:1678_conv:3356,4,embarrassed,I was really embarrassed when I forgot my speech,4,Did you get fired due to it?,5|5|5_5|5|5,
10144,hit:1678_conv:3357,1,lonely,I moved to a new city and have no friends.,4,I moved to a new city and have no friends.,5|5|5_5|5|5,
10145,hit:1678_conv:3357,2,lonely,I moved to a new city and have no friends.,267,That is a little daunting.  Have you considered joining some groups with like-minded individuals?,5|5|5_5|5|5,
10146,hit:1678_conv:3357,3,lonely,I moved to a new city and have no friends.,4,Yes but I do not know where to go.,5|5|5_5|5|5,
10147,hit:1678_conv:3357,4,lonely,I moved to a new city and have no friends.,267,Check with your community center,5|5|5_5|5|5,
10148,hit:1679_conv:3358,1,joyful,My sister just had a baby two days ago! It's been pretty hectic_comma_ and while I'm not looking forward to having to help with diapers_comma_ I'm proud of her and happy that she's healthy.,273,My sister just had a baby two days ago! It's been pretty hectic_comma_ and while I'm not looking forward to having to help with diapers_comma_ I'm proud of her and happy that she's healthy.,4|4|4_5|5|5,
